codigo_classe;nome_da_classe;situacao
334;Cartas;A
335;Carta de Ordem Criminal;A
355;Carta Precatória Criminal;A
375;Carta Rogatória Criminal;A
385;EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS;A
386;Execução da Pena;A
412;Recursos;A
413;Agravo de Execução Penal;A
417;Apelação Criminal;A
418;Carta Testemunhável;A
419;Correição Parcial Criminal;A
420;Embargos de Declaração Criminal;A
421;Embargos Infringentes e de Nulidade;A
424;Recurso de Medida Cautelar Criminal;A
426;Recurso em Sentido Estrito;A
427;Remessa Necessária Criminal;A
432;Desaforamento de Julgamento;A
436;Procedimento do Juizado Especial Cível;A
457;Pedido de Uniformização de Interpretação de Lei Cível;A
460;Recurso Inominado Cível;A
547;PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE;A
976;Ação Anulatória de Cláusulas Convencionais;A
980;Ação de Cumprimento;A
985;Ação Trabalhista - Rito Ordinário;A
986;Inquérito para Apuração de Falta Grave;A
987;Dissídio Coletivo;A
988;Dissídio Coletivo de Greve;A
990;Execução de Título Extrajudicial;A
991;Execução de Termo de Ajuste de Conduta;A
992;Execução de Termo de Conciliação de CCP;A
993;Execução de Certidão de Crédito Judicial;A
994;Execução Provisória em Autos Suplementares;A
1000;Agravo;A
1001;Agravo de Instrumento em Agravo de Petição;A
1002;Agravo de Instrumento em Recurso de Revista;A
1003;Agravo de Instrumento em Recurso Ordinário;A
1004;Agravo de Petição;A
1005;Agravo Regimental Trabalhista;A
1006;Embargos;A
1007;Embargos Infringentes;A
1008;Recurso de Revista;A
1009;Recurso Ordinário Trabalhista;A
1013;Agravo em Recurso de Habeas Corpus;A
1016;Embargos de Divergência em Agravo Regimental;A
1017;Embargos à Execução em Mandado de Segurança;A
1018;Embargos à Execução em Ação Recisoria;A
1019;Embargos à Execução em Medida Cautelar;A
1020;Execução em Ação Rescisória;A
1021;Execução em Sentença Estrangeira;A
1022;Execução em Sentença Estrangeira Contestada;A
1023;Execução em Mandado de Segurança;A
1024;Execução em Medida Cautelar;A
1025;Incidente de Deslocamento de Competência ;A
1026;Homologação de Decisão Estrangeira;A
1027;Sentença Estrangeira Contestada;A
1028;Sindicância;A
1029;Mandado de Segurança;A
1030;Reclamação;A
1031;Recurso Ordinário;A
1032;Recurso Especial;A
1033;Ação Penal;A
1034;Interpelação Judicial;A
1036;Suspensão de Liminar e de Sentença;A
1038;Representação;A
1040;Requisição de Pequeno Valor;A
1042;Inquérito;A
1044;Agravo de Instrumento;A
1045;Agravo em Recurso Extraordinário;A
1046;Agravo em Recurso de Mandado de Segurança;A
1047;Carta Rogatória;A
1049;Habeas Data;A
1053;Conflito de Atribuição;A
1054;Conflito de Competência;A
1057;Petição;A
1062;Medida Cautelar;A
1063;Exceção da Verdade;A
1064;Remessa Necessária em Habeas Corpus;A
1067;Procedimentos Trabalhistas;A
1068;Processo de Execução Trabalhista;A
1070;Incidentes Trabalhistas;A
1071;Recursos Trabalhistas;A
1072;Pedido de Revisão do Valor da Causa;A
1106;Processo de Conhecimento;A
1107;Procedimento de Conhecimento;A
1116;Execução Fiscal;A
1117;Execução Hipotecária do Sistema Financeiro da Habitação;A
1118;Embargos à Execução Fiscal;A
1125;Ação Trabalhista - Rito Sumaríssimo;A
1126;Ação Trabalhista - Rito Sumário (Alçada);A
1137;Embargos de Divergência em Recurso Especial;A
1178;Incidente de Arguição de Inconstitucionalidade Criminal;A
1198;PROCEDIMENTOS ADMINISTRATIVOS;A
1199;Pedido de Providências;A
1202;Reclamação;A
1208;Agravo Interno Cível;A
1209;Agravos;A
1233;Efeito Suspensivo;A
1262;Processo Administrativo Disciplinar em face de Servidor;A
1264;Processo Administrativo Disciplinar em face de Magistrado;A
1265;Precatório;A
1266;Requisição de Pequeno Valor;A
1267;Recurso de Multa;A
1268;Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal;A
1269;Habeas Corpus Cível;A
1271;Recurso de Medida Cautelar Cível;A
1291;Reabilitação;A
1294;Outros procedimentos de jurisdição voluntária;A
1296;Ação Declaratória de Constitucionalidade;A
1297;Intervenção em Município;A
1298;Processo Administrativo;A
1299;Recurso Administrativo;A
1301;Reclamação Disciplinar;A
1303;Correição Extraordinária;A
1304;Inspeção;A
1306;Recurso em Processo Administrativo Disciplinar em face de Servidor;A
1307;Correição Ordinária;A
1308;Sindicância;A
1310;SUPREMO TRIBUNAL FEDERAL;A
1311;Ação Cautelar;A
1312;Ação  Originária;A
1313;Ação Declaratória de Constitucionalidade;A
1314;Ação Direta de Inconstitucionalidade;A
1315;Ação Cível Originária;A
1316;Ação Originária Especial;A
1317;Ação Penal;A
1318;Ação Rescisória;A
1320;Agravo de Instrumento;A
1321;Agravo Regimental;A
1322;Arguição de Descumprimento de Preceito Fundamental;A
1323;Arguição de Suspeição;A
1325;Comunicação;A
1326;Conflito de Competência;A
1327;Embargos de Declaração;A
1328;Embargos Divergentes;A
1329;Embargos Infringentes;A
1330;Extradição;A
1331;Habeas Corpus;A
1332;Habeas Data;A
1333;Inquerito;A
1334;Intervenção Federal;A
1335;Mandado de Injunção;A
1336;Mandado de Segurança;A
1337;Medida Cautelar;A
1338;Petição;A
1339;Prisão Preventiva para Extradição;A
1341;Questão de Ordem;A
1342;Reclamação;A
1343;Recurso Criminal;A
1344;Recurso em Habeas Corpus;A
1345;Recurso em Habeas Data;A
1346;Recurso em Mandado de Injunção;A
1347;Recurso em Mandado de Segurança;A
1348;Recurso Extraordinário;A
1349;Revisão Criminal;A
1352;Suspensão de Liminar;A
1353;Suspensão de Segurança;A
1354;Suspensão de Tutela Provisória;A
1355;Siglas dos Processos Extintos;A
1356;Ação Ordinária Regressiva;A
1357;Ação Regressiva;A
1358;Apelação Cível;A
1359;Apelação Criminal;A
1360;Arguição de Relevância;A
1361;Carta Testemunhável;A
1362;Conflito de Atribuições;A
1363;Conflito de Jurisdição;A
1364;Denúncia;A
1365;Embargos Remetidos;A
1366;Exceção da Verdade;A
1367;Exceção de Suspeição;A
1368;Inquérito Administrativo;A
1369;Inquérito Policial;A
1370;Inquérito Policial Especial;A
1371;Interpelação;A
1372;Liquidação de Sentença;A
1373;Notificação;A
1374;Pedido de Avocação;A
1375;Processo Crime;A
1376;Processo Judicial;A
1377;Queixa Crime;A
1378;Recurso de Apreensão de Livro;A
1379;Recurso de Liquidação de Sentença;A
1380;Recurso de Revista;A
1381;Representação;A
1382;Retificação de Nome Estrangeiro;A
1383;Sentença Arbitral;A
1384;Suspensão de Direitos;A
1385;Seção Cível;A
1386;Processo de Conhecimento;A
1389;Ação de Alimentos de Infância e Juventude;A
1390;Revisão Judicial de Decisão do Conselho Tutelar;A
1391;Apuração de Irregularidades em Entidades de Atendimento;A
1392;Apuração de Infração Administrativa às Normas de Proteção à Criança ou Adolescente;A
1396;Tutela Infância e Juventude;A
1399;Tutela c/c Destituição do Poder Familiar;A
1401;Adoção;A
1414;Suprimento de Capacidade ou de Consentimento para Casar;A
1415;Emancipação;A
1417;Regularização de Registro Civil;A
1420;Guarda de Infância e Juventude;A
1424;Providência ;A
