codigo_movimento;descricao_movimento;situacao
15256;Liberdade Assistida;A
15257;Prestação de Serviços à Comunidade;A
15258;Reparação de Dano;A
15259;Advertência;A
15260;Homologada a Remissão;A
15261;Justiça Restaurativa;A
15262;Sem Medida Socioeducativa;A
15263;Liberdade Assistida;A
15264;Prestação de Serviços à Comunidade;A
15265;Reparação do Dano;A
15266;Advertência;A
15322;Extinção da Pena - Cumprimento de Sursis;A
15366;Acolhimento em Parte de Exceção de Pré-Executividade;A
15408;Não Conhecimento de Embargos de Declaração;A
15409;Não Conhecimento de Embargos de Declaração;A
15413;Ação Coletiva;A
15414;Ação Coletiva;A
15415;Incidente de Resolução de Demandas Repetitivas do TST;A
15416;Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas do TST;A
15417;Migração de Sistema Eletrônico;A
15418;Por Divergência de Entendimento com TST;A
15419;Por Divergência de Entendimento com TNU;A
15420;Acolhimento de Proposta de Afetação;A
15421;Rejeição de Proposta de Afetação;A
15422;Suspensão para Submissão de Proposta de Afetação;A
15424;Não Homologação de ANPP;A
15425;Aguardando Apresentação ou Captura de Desertor;A
15426;Captura ou Apresentação de Desertor;A
15427;Audiência de Admoestação;A
15486;Medida Protetiva da Lei Maria da Penha;A
15487;Medida Protetiva da Lei Maria da Penha;A
15488;Medida Protetiva da Lei Maria da Penha;A
15489;Medida Protetiva da Lei Maria da Penha;A
15490;Prorrogação de Medida Protetiva da Lei Maria da Penha;A
15491;Medida Protetiva da Lei Henry Borel;A
15492;Medida Protetiva da Lei Henry Borel;A
15493;Medida Protetiva da Lei Henry Borel;A
15494;Medida Protetiva da Lei Henry Borel;A
15495;Prorrogação de Medida Protetiva da Lei Henry Borel;A
15496;Medida de Proteção do Estatuto do Idoso;A
15497;Medida de Proteção do Estatuto do Idoso;A
15498;Medida de Proteção do Estatuto do Idoso;A
15499;Medida de Proteção do Estatuto do Idoso;A
15500;Prorrogação de Medida de Proteção do Estatuto do Idoso;A
15501;Medida de Proteção do Estatuto da Criança e do Adolescente;A
15502;Medida de Proteção do Estatuto da Criança e do Adolescente;A
15503;Medida de Proteção do Estatuto da Criança e do Adolescente;A
15504;Medida de Proteção do Estatuto da Criança e do Adolescente;A
15505;Prorrogação de Medida de Proteção do Estatuto da Criança e do Adolescente;A
15506;Medida de Proteção da Lei 13.431/2017;A
15507;Medida de Proteção da Lei 13.431/2017;A
15508;Medida de Proteção da Lei 13.431/2017;A
15509;Medida de Proteção da Lei 13.431/2017;A
15510;Prorrogação de Medida de Proteção da Lei 13.431/2017;A
15530;Iniciada Tramitação Interna do PIC do MP;A
15531;Finalizada Tramitação Interna do PIC no MP;A
15538;Menagem;A
15539;Menagem-Liberdade;A
15540;Menagem-Prisão;A
15541;Menagem;A
15542;Menagem;A
12021;Decurso de Prazo;
11388;Juntada de Petição;
12246;Expedição de Termo;
12093;Disponibilizado no DJE;
12489;Ato Ordinatório (Prorrogação de Prazo);
12513;Juntada de AR/MP/Defensoria - Carta Precatória;
11883;Juntada de Mandado;A
11010;Conclusos para Despacho;A
198;Baixa Definitiva;A
11383;Juntada de Ofício;A
11884;Juntada de Petição de Juntada de Documentos;A
581;Juntada;A
12247;Expedição de Ofício;A
11013;Conclusos para Sentença;A
