codigo_movimento;descricao_movimento;situacao
10962;Regressão de Medida Sócio-Educativa;A
10964;Extinção por Cumprimento de Medida Sócio-Educativa;A
11003;Início do Cumprimento da Transação Penal;A
11008;Desmembramento de Feitos;A
11009;Despacho;A
11012;Conflito de Competência;A
11016;Exceção da Verdade;A
11017;Incidente de Insanidade Mental;A
11018;Recebimento de Embargos à Execução;A
11019;Ordenação de entrega de autos;A
11020;Requisição de Informações;A
11021;Conversão;A
11022;Julgamento em Diligência;A
11023;Concessão;A
11024;Assistência Judiciária Gratuita;A
11025;Suspensão ou Sobrestamento;A
11373;Anulação de sentença/acórdão;A
11374;Devedor não encontrado;A
11375;Inexistência de bens penhoráveis;A
11376;Ausência do autor à audiência;A
11377;Inadmissibilidade do procedimento sumaríssimo;A
11378;Incompetência territorial;A
11379;Incompetência em razão da pessoa;A
11380;Autor falecido e sem habilitação de sucessores;A
11381;Ausência de citação de sucessores do réu falecido;A
11382;Bloqueio/penhora on line;A
11384;Liquidação iniciada;A
11385;Execução/Cumprimento de Sentença Iniciada (o);A
11393;Sanção;A
11395;Remissão ao Adolescente como Forma de Suspensão do Processo;A
11401;Procedência do pedido e procedência do pedido contraposto;A
11402;Procedência do pedido e procedência em parte do pedido contraposto;A
11403;Procedência do pedido e improcedência do pedido contraposto;A
11404;Procedência em parte do pedido e procedência do pedido contraposto;A
11405;Procedência em parte do pedido e procedência em parte do pedido contraposto;A
11406;Procedência em parte do pedido e improcedência do pedido contraposto;A
11407;Improcedência do pedido e procedência do pedido contraposto;A
11408;Improcedência do pedido e procedência em parte do pedido contraposto;A
11409;Improcedência do pedido e improcedência do pedido contraposto;A
11411;Cumprimento da suspensão condicional do processo;A
11415;Comutação da pena;A
11423;Medida protetiva;A
11424;Medida protetiva;A
11426;Medida protetiva;A
11554;Indulto;A
11792;Livramento Condicional;A
11795;Procedência do Pedido - Reconhecimento pelo réu;A
11796;Declaração de competência em conflito;A
11801;Reparação do dano;A
11876;Absolvição Sumária do art. 397-CPP;A
11877;Absolvição sumária - crimes dolosos contra a vida;A
11878;Prescrição;A
11879;Decadência ou perempção;A
11975;Recurso Especial repetitivo;A
11983;Retificação de movimento;A
12028;Cumprimento de transação penal;A
12032;Exequatur;A
12033;Sentença Estrangeira;A
12034;Exequatur;A
12035;Representação por ato infracional;A
12036;Representação por ato infracional;A
12037;Quebra de sigilo fiscal;A
12038;Quebra de sigilo bancário;A
12039;Quebra de sigilo telemático;A
12040;Indisponibilidade de bens;A
12041;Recuperação judicial;A
12066;Cumprimento de Levantamento da Suspensão ;A
12092;Afetação ao rito dos recursos repetitivos ;A
12094;Incidente de Resolução de demandas repetitivas (art. 981 e 982);A
12095;Incidente de resolução de demandas repetitivas;A
12096;Incidente de assunção de competência;A
12097;Incidente de assunção de competência ;A
12098;Incidente de Resolução de Demandas Repetitivas ;A
12099;Por decisão do Presidente do STJ - SIRDR;A
12100;Por decisão do Presidente do STF  - SIRDR;A
12103;Pauta;A
12104;Inclusão em pauta;A
12105;Inclusão em Pauta de Sessão Virtual;A
12106;Adiamento do Julgamento para a Primeira Sessão Seguinte;A
12107;Para análise de repercussão geral;A
12108;Para análise de repercussão geral;A
12109;Para análise da admissão do recurso repetitivo ;A
12110;Para análise da admissão do recurso repetitivo ;A
12111;Para análise da admissão do IRDR;A
12112;Para análise da admissão do IRDR;A
12113;Para análise da admissão do IAC;A
12114;Para análise da admissão do IAC;A
12115;Para Julgamento;A
12116;Para Julgamento;A
12140;Prisão em Flagrante em Prisão Preventiva;A
12141;Relaxamento do Flagrante;A
12142;Mudança de Parte;A
12143;Mudança de Assunto Processual;A
12144;Unificação e Soma de Penas;A
12145;Detração/Remição;A
12146;Liberdade Provisória;A
12147;Domiciliar;A
12148;Prisão Domiciliar;A
12149;Detração/Remição da Pena;A
12150;Impedimento;A
12151;Suspeição;A
12164;Outras Decisões;A
12165;Requisição de Pagamento;A
12166;Precatório;A
12167;Enviada ao Tribunal;A
12168;Preparada para Envio;A
12169;Paga;A
12170;Cancelada;A
12171;Retificado;A
12172;Suspensão;A
12173;Pequeno Valor;A
12174;Enviada ao Tribunal/Ente Devedor;A
12175;Preparada para Envio;A
12176;Paga;A
12177;Cancelada;A
12178;Retificada;A
12179;Suspensão;A
12180;Prestação de Serviços à Comunidade;A
12181;Reparação do Dano;A
12182;Liberdade Assistida;A
12183;Justiça Restaurativa;A
12185;Decisão Interlocutória de Mérito;A
12186;Cancelamento de Distribuição;A
12187;Homologação de Decisão de Juiz Leigo;A
12188;Recambiamento de Preso;A
12189;Entrega de Documento;A
12198;Deliberado em Sessão;A
12199;Julgado;A
12200;Mérito;A
12201;Liminar;A
12202;Questão de Ordem;A
12203;Adiado;A
12204;Pedido de Vista;A
12205;Retirado;A
12206;Ratificação;A
12207;Liminar;A
